Main Tab;Top level Menu Item;Sub Menu Item;Section / Tab;Feature;Sub Feature;Priority;Delivery Milestone;Completion Status;Lost during conversion;Schema Conversion Map reference;Comments
;;Bookmark;;;;2;1.0;;;;
;;;;;;;;;;;
;;Cross Reference;Reference type;;;2;1.0;;;;
;;;Insert reference to;Selected destination;;2;1.0;;;;
;;;;Include above/below;;2;1.0;;;;
;;;Insert as hyperlink;;;2;1.0;;;;
;;;Seperate numbers with;;;3;1.0;;;;
;;;;;;;;;;;
;Header & Footer;Header;;;;1;0.3-M1;Completed;;;
;;Footer;;;;1;0.3-M1;Completed;;;
;;Page Number;Number format;;;1;0.3-M1;Completed;;;
;;;Include chapter number ;Chapter starts with style;;1;0.3-M2;;;;
;;;;Use separator;;1;0.3-M2;;;;
;;;Page numbering;Continue from previous section;;1;0.3-M1;Completed;;;
;;;;Start at;;;-;;;;This feature is unsupported in OO 
;;;;;;;;;;;
;Text;Text Box;;;;2;0.3-M2;;;;
;;Quick Parts;Document Property;Selected option;;2;;;;;
;;;Field;Selected field;;2;0.3-M2;Partial;completed are date, time, page number ;;
;;Drop cap;Position;None / Dropped/ In margin;;3;1.0;;;;
;;;Options;Font;;3;1.0;;;;
;;;;Lines to drop;;3;1.0;;;;
;;;;Distance from text;;3;1.0;;;;
;;Word Art;;;;2;1.0;;;;
;;Date and Time;;;;0;0.3-M2;Completed;;;
;;;Date format;;;0;0.3-M2;Completed;;;
;;;Language;;;0;0.3-M2;Completed;;;
;;;;;;;;;;;
;;Object;;;;1;0.3-M2;;;;
;;;Object type;;;1;0.3-M2;;;;
;;;Display as icon;;;1;0.3-M2;;;;
;;;Create from file;Selected file;;1;0.3-M2;;;;
;;;;Link to file;;1;0.3-M2;;;;
;;;;;;;;;;;
;;Signature Line;;;;2;1.0;;;;
;;;;;;;;;;;
;Symbols;Symbol;;;;0;0.2-Final ;Completed;;;
;;Equation;;;;0;0.2-Final ;Completed;;;
;;;;;;;;;;;
Table Tools;Layout;Table - Properties;Table;Size;;0;0.2-Final ;Completed;;;
;;;;Alignment;Left /Center/right;0;0.2-Final ;Completed;;;
;;;;;Indent from left;0;0.2-Final ;Completed;;;
;;;;Text wrapping;None / Around;1;-;;not supported;;
;;;;Options(Default cell margins);Top/Bottom/Left/Right;1;0.2-Final ;Completed;;;
;;;;;Default cell spacing;1;-;;not supported;;
;;;;;Automatically resize to fit contents;1;-;;not supported;;
;;;Row;Size;Height;2;0.2-Final ;Completed;;;
;;;;;At least / Exactly;2;0.3-M1;Completed;;;
;;;;Options;Allow row to break across pages;2;0.3-M1;Completed;;;
;;;;;Repeat as header row at the top of each page;2;0.3-M2;Completed;;;
;;;Column;Size;Width;2;0.2-Final ;Completed;;;
;;;Cell;Size;Width;2;0.3-M1;Completed;;;
;;;;Vertical alignment;Top/Center/Bottom;2;0.2-Final ;Completed;;;
;;;;Options;Cell margins;2;0.2-Final ;Completed;;;
;;;;;Wrap text;2;0.3-M2;;;;TODO investigate this feature in Word
;;;;;Fit text;2;-;;not supported;;
;;;;Text direction;;2;-;;not supported;;
;;;;;;;;;;;
;;;Borders and Shadings;Settings;None/ Box /All /Grid /Custom;2;0.2-Final ;Completed;;;
;;;;Style;;2;-;;not supported;It's open office Bug, see coment in Conversion Issues.;
;;;;Color;;2;0.2-Final ;Completed;;;
;;;;Width;;2;0.2-Final ;Completed;;;
;;;;Shading;Fill color;2;0.3-M1;Completed;;;
;;;;;Patterns;2;-;;not supported;;
;;;;;;;;;;;
Picture Tools;Format;Size;Size;Size and rotate;Height;1;0.2-Final ;Completed;;;
;;;;;Width;1;0.2-Final ;Completed;;;
;;;;;Rotation;1;0.3-M1;Completed;Rotation is not supported for pictures in OO. Only vertical or horizontal flip are supported;;
;;;;Scale;Height;1;0.2-Final ;Completed;;;
;;;;;Width;1;0.2-Final ;Completed;;;
;;;;;Lock aspect ratio;1;-;;differently supported feature  see comment in Conversion issues;;
;;;;;Relative to orginal picture size;1;-;;there is no equivalent in OO;;
;;;;Crop from;Left/Right/Top/Bottom;3;0.3-M1;Completed;crop is supported for 100% image scale - details are in Conversion issues;;
;;;Alt Text;;;;;;;;
;;;;;;;;;;;
;;Advanced Layout;Picture position;Horizontal;Alignment;2;0.3-M1;Completed;;;
;;;;;Book layout;2;0.3-M1;Completed;;;
;;;;;Absolute position;2;0.3-M1;Completed;;;
;;;;;Relative position;2;-;;;;There is Word 2007 bug, see coment in Conversion Issues.
;;;;Vertical;Alignment;2;0.3-M1;Completed;;;
;;;;;Absolute position;2;0.3-M1;Completed;;;
;;;;;Relative position;2;-;;;;There is Word 2007 bug, see coment in Conversion Issues.
;;;;Options;Move object with text;2;-;;not supported ;;property is not saved in xml - it's depends on application
;;;;;Lock anchor;2;-;;not supported ;;in OO only position can be locked
;;;;;Allow overlap;2;-;;not supported;;
;;;;;Layout in table cell;2;0.3-M1;Completed;the behaviour is similar but not the same - picture hovers the table in OO;;"corresponding feature in OO: anchor set ""to page"""
;;;;;;;;;;;
;;;Text Wrapping;Wrapping style;Square;2;0.3-M1;Completed;;;
;;;;;Tight;2;0.3-M1;Completed;;;
;;;;;Throught;2;0.3-M1;Completed;;;
;;;;;Top and Bottom;2;0.3-M1;Completed;;;
;;;;;Behind text;2;0.3-M1;Completed;;;
;;;;;In front of text;2;0.3-M1;Completed;;;
;;;;;In line with text;2;0.3-M1;Completed;;;
;;;;Wrap text;Both sides;2;0.3-M1;Completed;;;
;;;;;Left only ;2;0.3-M1;Completed;;;
;;;;;Right only;2;0.3-M1;Completed;;;
;;;;;Largest only;2;0.3-M1;Completed;;;
;;;;Distance from text;Top;2;0.3-M1;Completed;;;
;;;;;Bottom;2;0.3-M1;Completed;;;
;;;;;Left;2;0.3-M1;Completed;;;
;;;;;Right;2;0.3-M1;Completed;;;
;;;;;;;;;;;
;;Picture styles;Fill;;;3;1.0;;;;
;;;Line color;;;3;1.0;;;;
;;;Line Style;;;3;1.0;;;;
;;;Shadow;;;3;1.0;;;;
;;;3-D Format;;;3;1.0;;;;
;;;3-D Rotation;;;3;1.0;;;;
;;;Picture;;;3;1.0;;;;
;;;Text Box;;;3;1.0;;;;
;;;;;;;;;;;
Header and Footer Tools;Design;Position;Header from top;;;1;0.3-M2;Completed;;;
;;;Footer from bottom;;;1;0.3-M2;Completed;;;
