OOX Experience / Scenario;Feature;Priority ;Delivery Milestone ;Completion Status;Developer;Technical description;Remarks/Questions
;headerSource (Header Definition File Path) ;;;;;;
;lid (Merge Field Name Language ID) ;;;;;;
; linkToQuery (Query Contains Link to External Query File) ;;;;;;
; mailAsAttachment (Merged Document To E-Mail Attachment) ;;;;;;
; mailMerge (Mail Merge Settings) ;;;;;;
; mailSubject (Merged E-mail or Fax Subject Line) ;;;;;;
; mainDocumentType (Source Document Type) ;;;;;;
; mappedName (Predefined Merge Field Name) ;;;;;;
; name (Data Source Name for Column) ;;;;;;
; odso (Office Data Source Object Settings);;;;;;
; query (Query For Data Source Records To Merge) ;;;;;;
; recipientData (Reference to Inclusion/Exclusion Data for Data Source) ;;;;;;
; recipientData (Data About Single Data Source Record) ;;;;;;
; recipients (Inclusion/Exclusion Data for Data Source) ;;;;;;
; src (ODSO Data Source File Path) ;;;;;;
; table (Data Source Table Name) ;;;;;;
; type (ODSO Data Source Type);;;;;;
; udl (UDL Connection String) ;;;;;;
; uniqueTag (Unique Value for Record) ;;;;;;
; viewMergedData (View Merged Data Within Document) ;;;;;;
Settings;;;;;;;
;Document Settings ;;;;;;
;Web Page Settings ;;;;;;
;Compatibility Settings ;;;;;;
Fields & Hyperlinks;;;;;;;
;Field formatting ;;;;;;
;Field definitions ;;;;;;
;calcOnExit (Recalculate Fields When Current Field Is Modified);;;;;;
;checkBox (Checkbox Form Field Properties);;;;;;
;checked (Checkbox Form Field State) ;;;;;;
;ddList (Drop-Down List Form Field Properties) ;;;;;;
;default (Default Text Box Form Field String);;;;;;
;default (Default Drop-Down List Item Index) ;;;;;;
;default (Default Checkbox Form Field State) ;;;;;;
;delInstrText (Deleted Field Code) ;;;;;;
;enabled (Form Field Enabled) ;;;;;;
;entryMacro (Script Function to Execute on Form Field Entry);;;;;;
;exitMacro (Script Function to Execute on Form Field Exit) ;;;;;;
;ffData (Form Field Properties) ;;;;;;
;fldChar (Complex Field Character) ;;;;;;
;fldData (Custom Field Data) ;;;;;;
;fldData (Custom Field Data) ;;;;;;
;fldSimple (Simple Field) ;;;;;;
;format (Text Box Form Field Formatting) ;;;;;;
;helpText (Associated Help Text) ;;;;;;
;hyperlink (Hyperlink) ;;;Completed;;text:a;
;instrText (Field Code) ;;;;;;
;listEntry (Drop-Down List Entry) ;;;;;;
;maxLength (Text Box Form Field Maximum Length) ;;;;;;
;name (Form Field Name) ;;;;;;
;result (Drop-Down List Selection) ;;;;;;
;size (Checkbox Form Field Size) ;;;;;;
;sizeAuto (Automatically Size Form Field) ;;;;;;
;statusText (Associated Status Text) ;;;;;;
;textInput (Text Box Form Field Properties);;;;;;
;type (Text Box Form Field Type) ;;;;;;
Odds & Ends;;;;;;;
;Text Box Content ;;;;;;
;Subdocuments ;;;;;;
;External Content Import ;;;;;;
;Roundtripping Alternate Content ;;;;;;
Metadata;;;;;;;
;Metadata Properties ;;;;;;
;Core Properties ;;;;;;
;Extended Properties ;;;;;;
;Custom Properties ;;;;;;
;Variant Types ;;;;;;
Math ;;;;;;;
;Accent Object ;;;;;;
;Bar Object ;;;;;;
;Border Box Object ;;;;;;
;Box Object ;;;;;;
;Delimiters ;;;;;;
;Equation Array Object ;;;;;;
;Fraction Object ;;;;;;
;Function Apply Object ;;;;;;
;Group Character Object ;;;;;;
;Upper and Lower Limits ;;;;;;
;Matrix Object ;;;;;;
;N-ary Object ;;;;;;
;Phantom Object ;;;;;;
;Radical Object ;;;;;;
DrawingML Audio and Video;;;;;;;
DrawingML Text;;;;;;;
;Body Level Properties ;;;;;;
;Coordinate Systems and Transformations ;;;;;;
;Base Representations ;;;;;;
;Scalings and Rotations on Base Representations;;;;;;
;Flips ;;;;;;
;Group Representations ;;;;;;
;Translation (Moving of Groups) ;;;;;;
;Group Rotation ;;;;;;
;Group Scaling ;;;;;;
;Translation, Scaling, and Rotation of Group Members ;;;;;;
;Transformation Computations ;;;;;;
;Apply Shape Transforms ;;;;;;
;Apply Group Transforms ;;;;;;
DrawingML Styles;;;;;;;
;Shared Style Sheet;;;;;;
DrawingML Diagrams;;;;;;;
;Element Property Set ;;;;;;
;Color Transforms ;;;;;;
;Style Definition ;;;;;;
;Layout ;;;;;;
;Drawing Anchors ;;;;;;
DrawingML 3-D;;;;;;;
;3-D ;;;;;;
;Styles ;;;;;;
DrawingML Tables;;;;;;;
DrawingML Shape Properties and Effects ;;;;;;;
DrawingML Chart ;;;;;;;
DrawingML Pictures ;;;;;;;
;align (Horizontal Alignment Base) ;;;Completed;karolina; style:horizontal-pos;
;align (Vertical Alignment Base) ;;;Completed;karolina;style:vertical-pos;
;anchor (Anchor for Floating DrawingML Object) ;;;Partial;karolina;draw:frame/draw:image;TODO investigate other attributes to convert
;cNvGraphicFramePr ;;;;;;
;docPr (Drawing Object Non-Visual Properties) ;;;Partial;karolina;docPr/ :@name to draw:frame/ @draw:name;
;effectExtent (Square Wrapping Extent) ;;;;;;
;effectExtent (Wrapping Boundaries) ;;;;;;
; effectExtent (Inline Wrapping Extent) ;;;;;;
; extent (Drawing Object Size) ;;;Completed;karolina;draw:frame/draw:image/@svg:height @svg:width;
; extent (Inline Drawing Object Extents) ;;;Completed;karolina;draw:frame/draw:image/@svg:height @svg:width;
; inline (Inline DrawingML Object) ;;;Partial;karolina;draw:frame/draw:image;TODO: effectExtent (Square Wrapping Extent) and partly docPr
; lineTo (Wrapping Polygon Line) ;;;;;;
; offset (Horizontal Position Offset) ;;;;;;
; offset (Vertical Position Offset) ;;;;;;
; positionH (Horizontal Positioning) ;;;Completed;karolina;draw:frame/draw:image/@svg:x;
; positionV (Vertical Positioning);;;Completed;karolina;draw:frame/draw:image/@svg:y;
; posOffset ;;;Completed;karolina;draw:frame/ @svg:x and @svg:y;
; simplePos (Simple Positioning) ;;;;;;
; start (Wrapping Polygon Start) ;;;;;;
; wrapNone (No Text Wrapping);;;Completed;karolina;style:graphic-properties/ @style:wrap = run-through;
; wrapPolygon (Through Wrapping Polygon) ;;;;;;
; wrapPolygon (Tight Wrapping Extents Polygon) ;;;;;;
; wrapSquare (Square Wrapping) ;;;Completed;karolina;@style:wrap = run-through;
; wrapThrough (Through Wrapping) ;;;Completed;karolina;@style:wrap = run-through;
; wrapTight (Tight Wrapping) ;;;;karolina;;
; wrapTopAndBottom (Top and Bottom Wrapping) ;;;Completed;karolina;@style:wrap = run-through;
VML Elements;;;;;;;
;anchorlock ;;;;;;
;borderbottom ;;;;;;
;borderleft ;;;;;;
;borderright ;;;;;;
;bordertop ;;;;;;
;callout ;;;;;;
;extrusion ;;;;;;
;fill (Shape Fill Properties) ;;;;;;
;formulas (Set of Formulas) ;;;;;;
;handles (Set of Handles) ;;;;;;
;imagedata (Image Data) ;;;;;;
;lock ;;;;;;
;path (Shape Path) ;;;;;;
;shadow (Shadow Effect) ;;;;;;
;skew ;;;;;;
;stroke (Line Stroke Settings) ;;;;;;
;textbox (Text Box) ;;;;;;
;textpath (Text Layout Path) ;;;;;;
;wrap ;;;;;;
;OLEObject;;;Completed;michkam;draw:object-ole;
