OOX Experience / Scenario;Feature;Priority ;Delivery Milestone ;Completion Status;Developer;Technical description;Remarks/Questions
;sz (Font Size) ;;;Completed;;style:text-properties/@fo:font-size;
;szCs (Complex Script Font Size) ;;;Completed;;style:text-properties/@style:font-size-complex;
;u (Underline) ;;;Completed;; style:text-properties/@style:text-underline-type and s@tyle:text-underline-style and @style:text-underline-width;
;vanish (Hidden Text) ;;;Completed;;style:text-properties/@text:display;
;vertAlign (Subscript/Superscript Text) ;;;Partial;;style:text-properties/@style:text-position;if text is raised or lowered by more than 100%, position is converted wrongly, TODO: Investigate how to fix this issue
;w (Expanded/Compressed Text) ;;;Completed;;style:text-properties/@style:text-scale;
;webHidden (Web Hidden Text) ;;;;;;
Run Content;;;;;;;
;br (Break) ;;;Line Breaks Completed, Column Breaks and Page Breaks partial, TODO: investigate how to convert many column or page breaks in one paragraph;;text:line-break, style:paragraph-properties/@fo:break-after;
;cr (Carriage Return) ;;;;;;
;dayLong (Date Block - Long Day Format) ;;;;;;
;dayShort (Date Block - Short Day Format) ;;;;;;
;delText (Deleted Text) ;;;;;;
;drawing (DrawingML Object) ;;;Partial;;;TODO investigate what attributes should be converted
;hps (Phonetic Guide Text Font Size) ;;;;;;
;hpsBaseText (Phonetic Guide Base Text Font Size) ;;;;;;
;hpsRaise (Distance Between Phonetic Guide Text and Phonetic Guide Base Text);;;;;;
; lid (Language ID for Phonetic Guide) ;;;;;;
; monthLong (Date Block - Long Month Format) ;;;;;;
; monthShort (Date Block - Short Month Format) ;;;;;;
; noBreakHyphen (Non Breaking Hyphen Character) ;;;;;;
; object (Inline Embedded Object) ;;;;;;
; ocx (Floating ActiveX Control);;;;;;
;ocx (Inline ActiveX Control);;;;;;
;pgNum (Page Number Block) ;;;;;;
;pict (VML Object) ;;;;;;
;ptab (Absolute Position Tab Character) ;;;;;;
;rt (Phonetic Guide Text) ;;;;;;
;ruby (Phonetic Guide) ;;;;;;
;rubyAlign (Phonetic Guide Text Alignment) ;;;;;;
;rubyBase (Phonetic Guide Base Text) ;;;;;;
;rubyPr (Phonetic Guide Properties) ;;;;;;
;softHyphen (Optional Hyphen Character) ;;;;;;
;sym (Symbol Character) ;;;;;;
;t (Text) ;;;Completed;;;
;tab (Tab Character) ;;;;;;
;yearLong (Date Block - Long Year Format) ;;;;;;
;yearShort (Date Block - Short Year Format);;;;;;
Tables;;;;;;;
;bidiVisual (Visually Right to Left Table);;;;;;
;bottom (Table Cell Bottom Margin Exception);;;Completed;;style:table-cell-properties/@fo:padding-bottom;
;bottom (Table Cell Bottom Border) ;;;Completed;;style:table-cell-properties/@fo:border-bottom;
;bottom (Table Bottom Border);;;Completed;;style:table-cell-properties/@fo:border-bottom;
;bottom (Table Cell Bottom Margin Default);;;Completed;;style:table-cell-properties/@fo:padding-bottom;
;cantSplit (Table Row Cannot Break Across Pages);;;;;style:table-row-properties/@style:keep-together;
;cnfStyle (Table Cell Conditional Formatting) ;;;;;;
;cnfStyle (Table Row Conditional Formatting) ;;;;;;
;divId (Associated HTML div ID) ;;;;;;
;gridAfter (Grid Columns After Last Cell) ;;;;;;
;gridBefore (Grid Columns Before First Cell) ;;;;;;
;gridCol (Grid Column Definition) ;;;Completed;;table:table-column;
;gridSpan (Grid Columns Spanned by Current Table Cell) ;;;Completed;;table:table-cell/@table:number-columns-spanned;
;hidden (Hidden Table Row Marker) ;;;;;;
;hideMark (Ignore End Of Cell Marker In Row Height Calculation);;;;;;
;hMerge (Horizontally Merged Cell);;;;;;
;insideH (Table Inside Horizontal Edges Border) ;;;;;;
;insideH (Table Cell Inside Horizontal Edges Border);;;;;;
;insideV (Table Cell Inside Vertical Edges Border);;;;;;
;insideV (Table Inside Vertical Edges Border);;;;;;
;jc (Table Alignment Exception) ;;;Completed;;style:table-properties/@table:align;
;jc (Table Row Alignment) ;;;Completed;;style:table-properties/@table:align;
;jc (Table Alignment) ;;;Completed;;style:table-properties/@table:align;
;left (Table Cell Left Border) ;;;Completed;;style:table-cell-properties/@fo:border-left;
;left (Table Cell Left Margin Exception) ;;;Completed;;style:table-cell-properties/@fo:padding-left;
;left (Table Cell Left Margin Default) ;;;Completed;;style:table-cell-properties/@fo:padding-left;
;left (Table Left Border);;;Completed;;style:table-cell-properties/@fo:border-left;
;noWrap (Don't Wrap Cell Content);;;;;;
;right (Table Cell Right Margin Default) ;;;Completed;;style:table-cell-properties/@fo:padding-right;
;right (Table Cell Right Border) ;;;Completed;;style:table-cell-properties/@fo:border-right;
;right (Table Cell Right Margin Exception) ;;;Completed;;style:table-cell-properties/@fo:padding-right;
;right (Table Right Border);;;Completed;;style:table-cell-properties/@fo:border-right;
;shd (Table Cell Shading);;;Completed;;style:table-cell-properties/@fo:background-color;
;shd (Table Shading Exception);;;Completed;;style:table-cell-properties/@fo:background-color;
;shd (Table Shading);;;Completed;;style:table-cell-properties/@fo:background-color;
;tbl (Table);;;Completed;;table:table;
;tblBorders (Table Borders Exceptions);;;Completed;;style:table-cell-properties/@fo:border-right,style:table-cell-properties/@fo:border-left,style:table-cell-properties/@fo:border-top,style:table-cell-properties/@fo:border-bottom;
;tblBorders (Table Borders);;;Completed;;style:table-cell-properties/@fo:border-right,style:table-cell-properties/@fo:border-left,style:table-cell-properties/@fo:border-top,style:table-cell-properties/@fo:border-bottom;
;tblCellMar (Table Cell Margin Defaults) ;;;Completed;;style:table-cell-properties/@fo:padding-right,style:table-cell-properties/@fo:padding-left,style:table-cell-properties/@fo:padding-top,style:table-cell-properties/@fo:padding-bottom;
;tblCellMar (Table Cell Margin Exceptions);;;Completed;;style:table-cell-properties/@fo:padding-right,style:table-cell-properties/@fo:padding-left,style:table-cell-properties/@fo:padding-top,style:table-cell-properties/@fo:padding-bottom;
;tblCellSpacing (Table Cell Spacing Exception);;;;;;
;tblCellSpacing (Table Row Cell Spacing) ;;;;;;
;tblCellSpacing (Table Cell Spacing Default);;;;;;
