Document Metadata;;;;;;
;Fixed and Minimum Heights;;;;;
;Margins;;;;;
;Border;;;;;
;Border Line Width;;;;;
;Padding;;;;;
;Background;;;;;
;Shadow;;;;;
Text Formatting Properties;;;;;;
;Color;;;;;
;Text Outline;;;;;
;Line Through Type;;;;;
;Line Through Style;;;;;
;Line Through Width;;;;;
;Text Position;;;;;
;Font Name;;;;;
;Font Style;;;;;
;Font Pitch;;;;;
;Font Size;;;;;
;Letter Spacing;;;;;
;Language;;;;;
;Country;;;;;
;Font Relief;;;;;
;Text Shadow;;;;;
;Underlining Style;;;;;
;Underlining Width;;;;;
;Font Weight;;;;;
;Text Underline Word Mode;;;;;
;Letter Kerning;;;;;
;Text Scale;;;;;
Paragraph Formatting Properties;;;;;;
;Fixed Line Height;;;;;
;Font-Independent Line Spacing;;;;;
;Text Align;;;;;
;Tab Stops;;;;;
;;Tab Position;;;;
;Left and Right Margins;;;;;
;Text Indent;;;;;
;Top and Bottom Margins;;;;;
;Margins;;;;;
;Text Autospace;;;;;
;Punctuation Wrap;;;;;
;Line Break;;;;;
;Writing Mode;;;;;
Table Formatting Properties;;;;;;
;Writing Mode;;;;;
;Display;;;;;
Column Formatting Properties;;;;;;
;Column Width;;;;;
;Optimal Table Column Width;;;;;
;Break Before and Break After;;;;;
Table Row Formatting Properties;;;;;;
;Row Height;;;;;
;Optimal Table Row Height;;;;;
;Break Before and Break After;;;;;
Table Cell Formatting Properties;;;;;;
;Vertical Alignment;;;;;
;Text Align Source;;;;;
;Direction;;;;;
;Vertical Glyph Orientation;;;;;
;Cell Shadow;;;;;
;Cell Background;;;;;
;Cell Border;;;;;
;Diagonal Lines;;;;;
;Padding;;;;;
;Wrap Option;;;;;
;Rotation Angle;;;;;
;Rotation Align;;;;;
;Cell Protect;;;;;
;Print Content;;;;;
;Decimal places;;;;;
;Repeat Content;;;;;
;Shrink To Fit;;;;;
15.16Text and Text Alignment Properties;;;;;;
;Auto Grow Width and Height;;;;;
;Fit To Size;;;;;
;Fit To Contour;;;;;
;Text Area Vertical Align;;;;;
;Text Area Horizontal Align;;;;;
;Word Wrap;;;;;
15.18Shadow Properties;;;;;;
;Shadow;;;;;
;Offset;;;;;
;Color;;;;;
;Opacity;;;;;
Frame Formatting Properties;;;;;;
;Frame Widths;;;;;
;Frame Heights;;;;;
;Padding;;;;;
;Mirroring;;;;;
;Clipping;;;;;
Floating Frame Formatting Properties;;;;;;
;Display Scrollbar;;;;;
;Display Border;;;;;
;Margins;;;;;
;Visible Area;;;;;
;Draw Aspect;;;;;
Chart Subtype Properties;;;;;;
;Three-dimensional Charts;;;;;
;Chart Depth;;;;;
;Chart Symbol;;;;;
;Chart Symbol Size;;;;;
;Bar Chart Properties;;;;;
;Stock Chart Properties;;;;;
;Line Chart Properties;;;;;
;Pie Chart Properties;;;;;
;Lines;;;;;
;Solid Charts Bars;;;;;
