ODF Experience / Scenario;Feature;Sub Feature;Priority ;Delivery Milestone ;Completion Status;Technical description;Comment
Text Indices;;;;;;;
;Index Marks;;;;;;
;;Table of Content Index Marks;;;;;
;;User-Defined Index Marks;;;;;
;;Alphabetical Index Mark;;;;;
;;Bibliography Index Mark;;;;;
;Index Structure;;;;;;
;;Index Source;;;;;
;;Index Body Section;;;;;
;;Index Title Section;;;;;
;Table Of Content;;;;;;
;;Table of Content Source;;;;;
;;Table of Content Entry Template;;;;;
;Index of Illustrations;;;;;;
;;Index of Illustration Source;;;;;
;;Illustration Index Entry Template;;;;;
;Index of Tables;;;;;;
;;Table Index Source;;;;;
;;Table Index Entry Template;;;;;
;Index of Objects;;;;;;
;;Object Index Source;;;;;
;;Object Index Entry Template;;;;;
;User-Defined Index;;;;;;
;;User-Defined Index Source;;;;;
;;User-Defined Index Entry Template;;;;;
;Alphabetical Index;;;;;;
;;Alphabetical Index Source;;;;;
;;Auto Mark File;;;;;
;;Alphabetical Index Entry Template;;;;;
;Bibliography;;;;;;
;;Bibliography Index Source;;;;;
;;Bibliography Entry Template;;;;;
;index source styles;;;;;;
;;Index source style;;;;;
;Index title template;;;;;;
;Index Template Entries;;;;;;
;;Chapter Information;;;;;
;;Entry Text;;;;;
;;Page Number;;;;;
;;Fixed String;;;;;
;;Bibliography Information;;;;;
;;Tab Stop;;;;;
;;Hyperlink Start and End;;;;;
;;Example of an Index Entry Configuration;;;;;
Tables;;;;;;;
;Basic Table Model;;;;;;
;;Table Element;;0.1;Completed;table:table is converted to w:tbl.;
;;Table Row;;0.1;Partial;table:table-row is converted to w:tr/w:trPr element;
;;Table Cell;;0.1;Partial;"table:table-cell is converted to w:tc
";
;Advanced Table Model;;;;;;
;;Column Description;;0.1;Partial;"table:table-column converted to w:gridCol
w:gridCol/@w:w is based on style:table-column-properties/@style:column-width for this column style name";
;;Header Columns;;;;;
;;Column Groups;;;;;
;;Header Rows;;;;;
;;Row Groups;;;;;
;;Subtables;;;;;
Graphic Content;;;;;;;
;Drawing Shapes;;;;;;
;;Rectangle;;;;;
;;Line;;;;;
;;Polyline;;;;;
;;Polygon;;;;;
;;Regular Polygon;;;;;
;;Path;;;;;
;;Circle;;;;;
;;Ellipse;;;;;
;;Connector;;;;;
;;Caption;;;;;
;;Measure;;;;;
;;Control;;;;;
;;Page Thumbnail;;;;;
;;Grouping;;;;;
;;Common Drawing Shape Attributes;;;;;
;;Common Shape Attributes for Text and Spreadsheet Documents;;;;;
;;Common Drawing Shape Content;;;;;
;;Common Shape Attribute Groups;;;;;
;;Glue Points;;;;;
;;Event Listeners;;;;;
;Frames;;;;;;
;;Text Box;;;;;
;;Image;;0.1;Partial;"Internal images only, ie [starts-with(draw:frame/draw:image/@xlink:href, 'Pictures/')]. Converted to w:drawing/wp:inline.
wp:extend attibutes @cx and @cx respectively use draw:frame/@svg:width and draw:frame/@svg:height and fail-safe with draw:text-box/@fo:min-width and draw:text-box/@fo:min-height";
;;Objects;;;;;
;;Applet;;;;;
;;Plugins;;;;;
;;Parameters;;;;;
;;Floating Frame;;;;;
;;Contour;;;;;
;;Alternative Text;;;;;
;;Hyperlinks;;;;;
;;Client Side Image Maps;;;;;
;3D Shapes;;;;;;
;;Scene;;;;;
;;Light;;;;;
;;Cube;;;;;
;;Sphere;;;;;
;;Extrude;;;;;
;;Rotate;;;;;
;Custom Shape;;;;;;
;;Enhanced Geometry;;;;;
;;Enhanced Geometry - Extrusion Attributes;;;;;
;;Enhanced Geometry - Path Attributes;;;;;
;;Enhanced Geometry - Text Path Attributes;;;;;
;;Enhanced Geometry â€“ Equation;;;;;
;;Enhanced Geometry - Handle Attributes;;;;;
Form Content;;;;;;;
;Form;;;;;;
;;Action;;;;;
;;Target Frame;;;;;
;;Method;;;;;
;;Encoding Type;;;;;
;;Allow Deletes;;;;;
;;Allow Inserts;;;;;
;;Allow Updates;;;;;
;;Apply Filter;;;;;
;;Command Type;;;;;
;;Command;;;;;
;;Data Source;;;;;
;;Master Fields;;;;;
;;Detail Fields;;;;;
;;Escape Processing;;;;;
;;Filter;;;;;
;;Ignore Result;;;;;
;;Navigation Mode;;;;;
;;Order;;;;;
;;Tabbing Cycle;;;;;
;;Connection Resource;;;;;
;XForms Model;;;;;;
;;XForms Model;;;;;
;Controls;;;;;;
;;Text;;;;;
;;Text Area;;;;;
;;Password;;;;;
;;File;;;;;
;;Formatted Text;;;;;
;;Number;;;;;
;;Date And Time;;;;;
;;Fixed Text;;;;;
;;Combo Box;;;;;
;;List Box;;;;;
;;Button;;;;;
;;Image;;;;;
;;Check Box;;;;;
;;Radio Button;;;;;
;;Frame;;;;;
;;Image Frame;;;;;
;;Hidden;;;;;
;;Grid;;;;;
;;Value Range;;;;;
;;Generic Control;;;;;
;Common Form and Control Attributes;;;;;;
;;Name;;;;;
;;Control Implementation;;;;;
;;Bind to XForms;;;;;
;Common Control Attributes;;;;;;
;;Button Type;;;;;
;;Control ID;;;;;
;;Current Selected;;;;;
;;Value and Current Value;;;;;
;;Disabled;;;;;
;;Dropdown;;;;;
;;For;;;;;
;;Image Data;;;;;
;;Label;;;;;
;;Maximum Length;;;;;
;;Printable;;;;;
;;Read only;;;;;
;;Selected;;;;;
;;Size;;;;;
;;Tab Index;;;;;
;;Tab Stop;;;;;
;;Target Frame;;;;;
;;Target Location;;;;;
;;Title;;;;;
;;Visual Effect;;;;;
;;Relative Image Position;;;;;
;;Database Binding Attributes;;;;;
;Events;;;;;;
;;Events with an Equivalent HTML Event Type;;;;;
;;Event Types;;;;;
;Properties;;;;;;
;;Property Set;;;;;
;;Property;;;;;
;;List Property;;;;;
Common Content;;;;;;;
;Annotation;;;;;;
;;Creator;;;;;
;;Creation Date and Time;;;;;
;;Creation Date and Time String;;;;;
;Number Format;;;;;;
;;Prefix and Suffix;;;;;
;;Format Specification;;;;;
;;Letter Synchronization in Number Formats;;;;;
;Change Tracking Metadata;;;;;;
;Event Listener Tables;;;;;;
;;Event Listener;;;;;
;Mathematical Content;;;;;;
;DDE Connections;;;;;;
;;Container for DDE Connection Declarations;;;;;
;;Declaring DDE Connections for Text Fields;;;;;
;;Declaring DDE Connections for Tables;;;;;
Styles;;;;;;;
;Style Element;;;;;;
;;Style Mappings;;;;;
;Default Styles;;;0.2;Complete;"office:document-styles/office:styles/style:default-style[@style:family='paragraph']/style:text-properties is translated to w:docDefaults/w:rPrDefault.
office:document-styles/office:styles/style:default-style[@style:family='paragraph']/style:paragraph-properties translated to w:docDefaults/w:pPrDefault.
";
;Page Layout;;;;;;
;;Header and Footer Styles;;;;;
;Master Pages;;;;;;
;;Headers and Footers;;;;;
;;Presentation Notes;;;;;
;Table Templates;;;;;;
;;Row and Column Styles;;;;;
