ODF Experience / Scenario;Feature;Sub Feature;Priority ;Delivery Milestone ;Completion Status;Technical description;Comment
;;Color;;;;;
;;Opacity;;;;;
;Connector Properties;;;;;;
;;Start Line Spacing;;;;;
;;End Line Spacing;;;;;
;Measure Properties;;;;;;
;;Line Distance;;;;;
;;Guide Overhang;;;;;
;;Guide Distance;;;;;
;;Start Guide;;;;;
;;End Guide;;;;;
;;Placing;;;;;
;;Parallel;;;;;
;;Text Alignment;;;;;
;;Unit;;;;;
;;Show Unit;;;;;
;;Decimal Places;;;;;
;Caption Properties;;;;;;
;;Type;;;;;
;;Angle Type;;;;;
;;Angle;;;;;
;;Gap;;;;;
;;Escape Direction;;;;;
;;Escape;;;;;
;;Line Length;;;;;
;;Fit Line Length;;;;;
;3D Geometry Properties;;;;;;
;;Horizontal Segments;;;;;
;;Vertical Segments;;;;;
;;Edge Rounding;;;;;
;;Edge Rounding Mode;;;;;
;;Back Scale;;;;;
;;Depth;;;;;
;;Backface Culling;;;;;
;;End Angle;;;;;
;;Close Front;;;;;
;;Close Back;;;;;
;3D Lighting Properties;;;;;;
;;Mode;;;;;
;;Normals Kind;;;;;
;;Normals Direction;;;;;
;3D Texture Properties;;;;;;
;;Generation Mode;;;;;
;;Kind;;;;;
;;Filter;;;;;
;;Mode;;;;;
;3D Material Properties;;;;;;
;;Colors;;;;;
;;Shininess;;;;;
;3D Shadow Properties;;;;;;
;;Shadow;;;;;
;Frame Formatting Properties;;;;;;
;;Frame Widths;;;;;
;;Frame Heights;;;;;
;;Maximum Width and Height;;;;;
;;Left and Right Margins;;;;;
;;Top and Bottom Margins;;;;;
;;Margins;;;;;
;;Print Content;;;;;
;;Protect;;;;;
;;Horizontal Position;;;;;
;;Horizontal Relation;;;;;
;;Vertical Position;;;;;
;;Vertical Relation;;;;;
;;Frame Anchor;;;;;
;;Border;;;;;
;;Border Line Width;;;;;
;;Padding;;;;;
;;Shadow;;;;;
;;Background;;;;;
;;Columns;;;;;
;;Editable;;;;;
;;Wrapping;;;;;
;;Dynamic Wrap Threshold;;;;;
;;Paragraph-only Wrapping;;;;;
;;Contour Wrapping;;;;;
;;Contour Wrapping Mode;;;;;
;;Run Through;;;;;
;;Flow with Text;;;;;
;;Overflow behavior;;;;;
;;Mirroring;;;;;
;;Clipping;;;;;
;;Wrap Influence on Position;;;;;
;Floating Frame Formatting Properties;;;;;;
;;Display Scrollbar;;;;;
;;Display Border;;;;;
;;Margins;;;;;
;;Object Formatting Properties;;;;;
;;Visible Area;;;;;
;;Draw Aspect;;;;;
